,作品名,作者（作画）,原作者など,連載開始,連載終了,備考
0,作品名,作者（作画）,原作者など,連載開始,連載終了,備考
354,とらえもんのひたのわんにやんしくうてん/ドラえもん のび太のワンニャン時空伝,ふしこふろ/藤子プロ,－,2004.02,2004.03,－
355,かつとひれえさあたんかんうるふ/かっとびレーサー!ダンガン狼,こした てつひろ/こしたてつひろ,－,2004.04,2005.10,－
356,けきしようはんほけつともんすたああとはんすしえねれえしよんれつくうのほうもんしやておきしす/劇場版ポケットモンスター アドバンスジェネレーション 裂空の訪問者 デオキシス,てしろき たかし たしり さとし/てしろぎたかし 田尻智,－,2004.05,2004.07,－
357,のつてけやろうあむとらいはあしえなすけきとうてん/のってけ!野郎 アムドライバー ジェナス激闘伝,こにし のりゆき/小西紀行,－,2004.06,2005.02,－
358,けしかすくん/ケシカスくん,むらせ のりゆき/村瀬範行,－,2004.06,5000、ソート用連載中,－
359,はくふうすらつしゆきすな/爆封スラッシュ!キズナ,あおき たかお/青木たかお,－,2004.11,2005.09,－
360,みらくるほおる/ミラクルボール,なかとし やすなり/ながとしやすなり,－,2004.12,2009.03,－
361,こうちゆうおうしやむしきんくさつくのほうけんへん/甲虫王者ムシキング〜ザックの冒険編〜,おおせ よしお/おおせよしお,－,2005.02,2006.10,『別冊コロコロコミック』から移動
362,てゆえるますたあすふあいていんくえつし/デュエル・マスターズFE,まつもと しけのふ/松本しげのぶ,－,2005.04,2008.06,－
363,みかくにんきやくせいめいたいたまこつち/未確認ギャグ生命体 たまごっち!,たちかわ ふみひと/立川史,－,2005.05,2006.03,－
364,けきしようはんほけつともんすたああとはんすしえねれえしよんみゆうとはとうのゆうしやるかりお/劇場版ポケットモンスター アドバンスジェネレーション ミュウと波導の勇者 ルカリオ,いはら しけかつ/伊原しげかつ,－,2005.06,2005.07,－
365,ますかれえと/マスカレード,いたかき まさや/板垣雅也,－,2005.10,2006.08,－
366,すいりのほしくん/推理の星くん,せいの なな/せいの奈々,たつかみ さちこ/立神サチ子,2005.12,2008.09,－
367,はくきゆうひつとくらつしゆひいたまん/爆球Hit! クラッシュビーダマン,くらたに ともや/倉谷友也,－,2006.01,2007.03,－
368,さいゆうきひいろおこくうてん/西遊記ヒーローGo空伝!,こにし のりゆき/小西紀行,－,2006.01,2008.05,－
369,とらえもんのひたのきようりゆう2006ていいえす/ドラえもん のび太の恐竜2006 DS,ふしこふろ/藤子プロ,－,2006.02,2006.03,－
370,ふとうてんこくあふろたんさあす/舞闘天国アフロダンサーズ,かわの たくみ/川野匠,－,2006.02,2007.04,－
371,もりつていいかも/森っていいかも!,たちかわ ふみひと/立川史,－,2006.05,2006.06,－
372,けきしようはんほけつともんすたああとはんすしえねれえしよんほけもんれんしやあとそうかいのおうしまなふい/劇場版ポケットモンスター アドバンスジェネレーション ポケモンレンジャーと蒼海の王子 マナフィ,みそふち まこと/溝渕誠,－,2006.05,2006.07,－
373,おいてよとうふつのもりへつはあむらのなつつ/おいでよ どうぶつの森 〜ペッパー村のナッツ!〜,やたか すすお/矢高鈴央,－,2006.07,2007.02,－
374,へんきんのもんたい/ペンギンの問題,なかい ゆうし/永井ゆうじ,－,2006.08,2013.01,－
375,とれしやあかうすとししようさいきようのはんたあこんひ/トレジャーガウスト 史上最強のハンターコンビ!!,かつみ なおと/勝見直人,－,2006.09,2008.09,－
376,てゆえるますたあすちようしゆうはかせとくたあめてお/DM超獣博士DM,おきつね ちひろ/御狐ちひろ,－,2006.10,2008.04,－
377,ほけつともんすたあたいやもんとはあるものかたりほけもんDP/ポケットモンスターダイヤモンド・パール物語 ポケモンDP,いはら しけかつ/伊原しげかつ,－,2006.10,2009.09,－
378,りゆうせいのろつくまん/流星のロックマン,いたかき まさや/板垣雅也,－,2006.11,2007.12,－
379,ほしのかあひいもおれつふふふあわあ/星のカービィ! も〜れつプププアワー!,たにくち あさみ/谷口あさみ,－,2006.12,2016.10,－
380,とらえもんのひたのしんまかいたいほうけんしちにんのまほうつかい/ドラえもん のび太の新魔界大冒険 〜7人の魔法使い〜,ふしこふろ/藤子プロ,－,2007.01,2007.03,－
381,ほくはかりれお/ぼくはガリレオ,かしもと まなう/樫本学ヴ,－,2007.01,2010.09,－
382,うすましん/ウズマジン,おおせ よしお/おおせよしお,－,2007.03,2008.08,－
383,けきしようはんほけつともんすたあたいやもんとあんとはあるていあるかたいはるきあたいたあくらい/劇場版ポケットモンスター ダイヤモンド&パール ディアルガVSパルキアVSダークライ,たかみさき りよう/鷹岬諒,－,2007.04,2007.07,－
384,ういいつすりもこんくん/Wii〜っす!!リモコンくん,やたか すすお/矢高鈴央,－,2007.04,2007.10,－
385,とらえもんのひたとみとりのきよしんてん/ドラえもん のび太と緑の巨人伝,ふしこふろ/藤子プロ,－,2008.02,2008.03,－
386,とらいふりゆうせいのろつくまんふとうかいてん/TRIBE 流星のロックマン 武闘外伝,いたかき まさや/板垣雅也,－,2008.02,2008.07,－
387,やつたあまんかいてんほけほけほやつきい/ヤッターマン外伝 ボケボケボヤッキー,よろすや ふしみのすけ/萬屋不死身之介,－,2008.02,2010.02,『別冊コロコロコミック』に移動
388,けきしようはんほけつともんすたあたいやもんとあんとはあるきらていなとそらのはなたはしえいみ/劇場版ポケットモンスター ダイヤモンド&パール ギラティナと氷空の花束 シェイミ,ひしおか まこと/ひじおか誠,－,2008.05,2008.07,－
389,とこんしようしようかくせいほんひいた/ド根性小学生ボン・ビー太,こかえる/小ガエル,－,2008.05,2013.11,－
390,いなすまいれふん/イナズマイレブン,やふの てんや/やぶのてんや,－,2008.06,2011.10,－
391,こここさいゆうきしんこくうてん/ゴゴゴ西遊記 新悟空伝,こにし のりゆき/小西紀行,－,2008.06,2012.04,－
392,てゆえるますたあすすたあくろす/デュエル・マスターズSX,まつもと しけのふ/松本しげのぶ,－,2008.07,2011.03,－
393,かいとうしよおかあ/怪盗ジョーカー,たかはし ひてやす/たかはしひでやす,－,2008.09,5000、ソート用連載中,『別冊コロコロコミック』から移動
394,めたるふあいとへいふれえと/メタルファイト ベイブレード,あたち たかふみ/足立たかふみ,－,2008.10,2012.03,－
395,りゆうせいのろつくまん3/流星のロックマン3,たかみさき りよう/鷹岬諒,－,2008.12,2009.01,－
396,すたんとあつふ/STAND UP!,いたかき まさや/板垣雅也,－,2009.02,2010.04,－
397,とらえもんしんのひたのうちゆうかいたくし/ドラえもん 新・のび太の宇宙開拓史,ふしこふろ/藤子プロ,－,2009.03,2009.04,－
398,とととととつし/ドドドドドッジ!,かつみ なおと/勝見直人,－,2009.05,2010.02,－
